Week_end,Indicator,High_industry,Value
2019-12-08,Number of paid jobs - 20 days,C Services,1497200
2019-12-08,Number of paid jobs - 20 days,Z No Match,33280
2019-12-08,Number of paid jobs - 6 days,Total,836150
2019-12-08,Number of paid jobs - 6 days,A Primary,43190
2019-12-08,Number of paid jobs - 6 days,B Goods Producing,265660
2019-12-08,Number of paid jobs - 6 days,C Services,515980
2019-12-08,Number of paid jobs - 6 days,Z No Match,11310
2019-12-15,Number of paid jobs - 34 days,Total,2252760
2019-12-15,Number of paid jobs - 34 days,A Primary,113270
2019-12-15,Number of paid jobs - 34 days,B Goods Producing,421200
2019-12-15,Number of paid jobs - 34 days,C Services,1680400
2019-12-15,Number of paid jobs - 34 days,Z No Match,37890
2019-12-15,Number of paid jobs - 20 days,Total,1835570
2019-12-15,Number of paid jobs - 20 days,A Primary,93270
2019-12-15,Number of paid jobs - 20 days,B Goods Producing,359690
2019-12-15,Number of paid jobs - 20 days,C Services,1349790
2019-12-15,Number of paid jobs - 20 days,Z No Match,32820
2019-12-15,Number of paid jobs - 6 days,Total,860050
2019-12-15,Number of paid jobs - 6 days,A Primary,45370
2019-12-15,Number of paid jobs - 6 days,B Goods Producing,269360
2019-12-15,Number of paid jobs - 6 days,C Services,521470
2019-12-15,Number of paid jobs - 6 days,Z No Match,23860
2019-12-22,Number of paid jobs - 34 days,Total,2232110
2019-12-22,Number of paid jobs - 34 days,A Primary,112530
2019-12-22,Number of paid jobs - 34 days,B Goods Producing,417910
2019-12-22,Number of paid jobs - 34 days,C Services,1662520
2019-12-22,Number of paid jobs - 34 days,Z No Match,39150
2019-12-22,Number of paid jobs - 20 days,Total,1928010
2019-12-22,Number of paid jobs - 20 days,A Primary,91570
2019-12-22,Number of paid jobs - 20 days,B Goods Producing,355150
2019-12-22,Number of paid jobs - 20 days,C Services,1455140
2019-12-22,Number of paid jobs - 20 days,Z No Match,26150
2019-12-22,Number of paid jobs - 6 days,Total,795540
2019-12-22,Number of paid jobs - 6 days,A Primary,42660
2019-12-22,Number of paid jobs - 6 days,B Goods Producing,238940
2019-12-22,Number of paid jobs - 6 days,C Services,497280
2019-12-22,Number of paid jobs - 6 days,Z No Match,16660
2019-12-29,Number of paid jobs - 34 days,Total,2133050
2019-12-29,Number of paid jobs - 34 days,A Primary,104880
2019-12-29,Number of paid jobs - 34 days,B Goods Producing,396480
2019-12-29,Number of paid jobs - 34 days,C Services,1593900
2019-12-29,Number of paid jobs - 34 days,Z No Match,37800
2019-12-29,Number of paid jobs - 20 days,Total,1844210
2019-12-29,Number of paid jobs - 20 days,A Primary,85180
2019-12-29,Number of paid jobs - 20 days,B Goods Producing,333370
2019-12-29,Number of paid jobs - 20 days,C Services,1409350
2019-12-29,Number of paid jobs - 20 days,Z No Match,16320
2019-12-29,Number of paid jobs - 6 days,Total,702100
2019-12-29,Number of paid jobs - 6 days,A Primary,36660
2019-12-29,Number of paid jobs - 6 days,B Goods Producing,215360
2019-12-29,Number of paid jobs - 6 days,C Services,443750
2019-12-29,Number of paid jobs - 6 days,Z No Match,6340
2020-01-05,Number of paid jobs - 34 days,Total,2128470
2020-01-05,Number of paid jobs - 34 days,A Primary,105300
2020-01-05,Number of paid jobs - 34 days,B Goods Producing,395960
2020-01-05,Number of paid jobs - 34 days,C Services,1588750
2020-01-05,Number of paid jobs - 34 days,Z No Match,38460
2020-01-05,Number of paid jobs - 20 days,Total,1842590
2020-01-05,Number of paid jobs - 20 days,A Primary,84730
2020-01-05,Number of paid jobs - 20 days,B Goods Producing,332920
2020-01-05,Number of paid jobs - 20 days,C Services,1392420
2020-01-05,Number of paid jobs - 20 days,Z No Match,32530
2020-01-05,Number of paid jobs - 6 days,Total,769460
2020-01-05,Number of paid jobs - 6 days,A Primary,38780
2020-01-05,Number of paid jobs - 6 days,B Goods Producing,234850
2020-01-05,Number of paid jobs - 6 days,C Services,475340
2020-01-05,Number of paid jobs - 6 days,Z No Match,20500
2020-01-12,Number of paid jobs - 34 days,Total,2130680
2020-01-12,Number of paid jobs - 34 days,A Primary,108060
2020-01-12,Number of paid jobs - 34 days,B Goods Producing,401880
2020-01-12,Number of paid jobs - 34 days,C Services,1581010
2020-01-12,Number of paid jobs - 34 days,Z No Match,39740
2020-01-12,Number of paid jobs - 20 days,Total,1869550
2020-01-12,Number of paid jobs - 20 days,A Primary,89440
2020-01-12,Number of paid jobs - 20 days,B Goods Producing,341930
2020-01-12,Number of paid jobs - 20 days,C Services,1403550
2020-01-12,Number of paid jobs - 20 days,Z No Match,34620
2020-01-12,Number of paid jobs - 6 days,Total,814840
2020-01-12,Number of paid jobs - 6 days,A Primary,42910
2020-01-12,Number of paid jobs - 6 days,B Goods Producing,248590
2020-01-12,Number of paid jobs - 6 days,C Services,499550
2020-01-12,Number of paid jobs - 6 days,Z No Match,23800
2020-01-19,Number of paid jobs - 34 days,Total,2176880
2020-01-19,Number of paid jobs - 34 days,A Primary,110480
2020-01-19,Number of paid jobs - 34 days,B Goods Producing,413920
2020-01-19,Number of paid jobs - 34 days,C Services,1611520
2020-01-19,Number of paid jobs - 34 days,Z No Match,40960
2020-01-19,Number of paid jobs - 20 days,Total,1908520
2020-01-19,Number of paid jobs - 20 days,A Primary,90880
2020-01-19,Number of paid jobs - 20 days,B Goods Producing,353560
2020-01-19,Number of paid jobs - 20 days,C Services,1428560
2020-01-19,Number of paid jobs - 20 days,Z No Match,35530
2020-01-19,Number of paid jobs - 6 days,Total,840480
2020-01-19,Number of paid jobs - 6 days,A Primary,43810
2020-01-19,Number of paid jobs - 6 days,B Goods Producing,260780
2020-01-19,Number of paid jobs - 6 days,C Services,510420
2020-01-19,Number of paid jobs - 6 days,Z No Match,25470
2020-01-26,Number of paid jobs - 34 days,Total,2192490
2020-01-26,Number of paid jobs - 34 days,A Primary,109950
2020-01-26,Number of paid jobs - 34 days,B Goods Producing,417390
2020-01-26,Number of paid jobs - 34 days,C Services,1622040
2020-01-26,Number of paid jobs - 34 days,Z No Match,43110
2020-01-26,Number of paid jobs - 20 days,Total,1922960
2020-01-26,Number of paid jobs - 20 days,A Primary,90130
2020-01-26,Number of paid jobs - 20 days,B Goods Producing,357460
2020-01-26,Number of paid jobs - 20 days,C Services,1437510
2020-01-26,Number of paid jobs - 20 days,Z No Match,37860
2020-01-26,Number of paid jobs - 6 days,Total,848260
2020-01-26,Number of paid jobs - 6 days,A Primary,43380
2020-01-26,Number of paid jobs - 6 days,B Goods Producing,263000
2020-01-26,Number of paid jobs - 6 days,C Services,517000
2020-01-26,Number of paid jobs - 6 days,Z No Match,24880
2020-02-02,Number of paid jobs - 34 days,Total,2223430
2020-02-02,Number of paid jobs - 34 days,A Primary,108710
2020-02-02,Number of paid jobs - 34 days,B Goods Producing,420260
2020-02-02,Number of paid jobs - 34 days,C Services,1650130
2020-02-02,Number of paid jobs - 34 days,Z No Match,44320
2020-02-02,Number of paid jobs - 20 days,Total,1937700
2020-02-02,Number of paid jobs - 20 days,A Primary,88250
2020-02-02,Number of paid jobs - 20 days,B Goods Producing,359140
2020-02-02,Number of paid jobs - 20 days,C Services,1451540
2020-02-02,Number of paid jobs - 20 days,Z No Match,38760
2020-02-02,Number of paid jobs - 6 days,Total,826310
2020-02-02,Number of paid jobs - 6 days,A Primary,41380
2020-02-02,Number of paid jobs - 6 days,B Goods Producing,257200
2020-02-02,Number of paid jobs - 6 days,C Services,501020
2020-02-02,Number of paid jobs - 6 days,Z No Match,26700
2020-02-09,Number of paid jobs - 34 days,Total,2201930
2020-02-09,Number of paid jobs - 34 days,A Primary,104280
2020-02-09,Number of paid jobs - 34 days,B Goods Producing,419050
2020-02-09,Number of paid jobs - 34 days,C Services,1638850
2020-02-09,Number of paid jobs - 34 days,Z No Match,39740
2020-02-09,Number of paid jobs - 20 days,Total,1854050
2020-02-09,Number of paid jobs - 20 days,A Primary,85740
2020-02-09,Number of paid jobs - 20 days,B Goods Producing,359890
2020-02-09,Number of paid jobs - 20 days,C Services,1373680
2020-02-09,Number of paid jobs - 20 days,Z No Match,34740
2020-02-09,Number of paid jobs - 6 days,Total,843630
2020-02-09,Number of paid jobs - 6 days,A Primary,40360
2020-02-09,Number of paid jobs - 6 days,B Goods Producing,262750
2020-02-09,Number of paid jobs - 6 days,C Services,515840
2020-02-09,Number of paid jobs - 6 days,Z No Match,24670
2020-02-16,Number of paid jobs - 34 days,Total,2190550
2020-02-16,Number of paid jobs - 34 days,A Primary,104400
2020-02-16,Number of paid jobs - 34 days,B Goods Producing,417760
2020-02-16,Number of paid jobs - 34 days,C Services,1637540
2020-02-16,Number of paid jobs - 34 days,Z No Match,30850
2020-02-16,Number of paid jobs - 20 days,Total,1927910
2020-02-16,Number of paid jobs - 20 days,A Primary,85400
2020-02-16,Number of paid jobs - 20 days,B Goods Producing,358170
2020-02-16,Number of paid jobs - 20 days,C Services,1459020
2020-02-16,Number of paid jobs - 20 days,Z No Match,25320
2020-02-16,Number of paid jobs - 6 days,Total,841770
2020-02-16,Number of paid jobs - 6 days,A Primary,40960
2020-02-16,Number of paid jobs - 6 days,B Goods Producing,265720
2020-02-16,Number of paid jobs - 6 days,C Services,519690
2020-02-16,Number of paid jobs - 6 days,Z No Match,15400
2020-02-23,Number of paid jobs - 34 days,Total,2178840
2020-02-23,Number of paid jobs - 34 days,A Primary,104610
2020-02-23,Number of paid jobs - 34 days,B Goods Producing,415550
2020-02-23,Number of paid jobs - 34 days,C Services,1626540
2020-02-23,Number of paid jobs - 34 days,Z No Match,32140
2020-02-23,Number of paid jobs - 20 days,Total,1917030
2020-02-23,Number of paid jobs - 20 days,A Primary,85580
2020-02-23,Number of paid jobs - 20 days,B Goods Producing,355290
2020-02-23,Number of paid jobs - 20 days,C Services,1450350
2020-02-23,Number of paid jobs - 20 days,Z No Match,25820
2020-02-23,Number of paid jobs - 6 days,Total,824900
2020-02-23,Number of paid jobs - 6 days,A Primary,40780
2020-02-23,Number of paid jobs - 6 days,B Goods Producing,260300
2020-02-23,Number of paid jobs - 6 days,C Services,508730
2020-02-23,Number of paid jobs - 6 days,Z No Match,15080
2020-03-01,Number of paid jobs - 34 days,Total,2234860
2020-03-01,Number of paid jobs - 34 days,A Primary,104870
2020-03-01,Number of paid jobs - 34 days,B Goods Producing,421260
2020-03-01,Number of paid jobs - 34 days,C Services,1669950
2020-03-01,Number of paid jobs - 34 days,Z No Match,38780
2020-03-01,Number of paid jobs - 20 days,Total,1965200
2020-03-01,Number of paid jobs - 20 days,A Primary,85200
2020-03-01,Number of paid jobs - 20 days,B Goods Producing,359410
2020-03-01,Number of paid jobs - 20 days,C Services,1491540
2020-03-01,Number of paid jobs - 20 days,Z No Match,29040
2020-03-01,Number of paid jobs - 6 days,Total,835200
2020-03-01,Number of paid jobs - 6 days,A Primary,40960
2020-03-01,Number of paid jobs - 6 days,B Goods Producing,264160
2020-03-01,Number of paid jobs - 6 days,C Services,518600
2020-03-01,Number of paid jobs - 6 days,Z No Match,11490
2020-03-08,Number of paid jobs - 34 days,Total,2215180
2020-03-08,Number of paid jobs - 34 days,A Primary,102440
2020-03-08,Number of paid jobs - 34 days,B Goods Producing,417530
2020-03-08,Number of paid jobs - 34 days,C Services,1658210
2020-03-08,Number of paid jobs - 34 days,Z No Match,36990
2020-03-08,Number of paid jobs - 20 days,Total,1958880
2020-03-08,Number of paid jobs - 20 days,A Primary,84930
2020-03-08,Number of paid jobs - 20 days,B Goods Producing,358870
2020-03-08,Number of paid jobs - 20 days,C Services,1483350
2020-03-08,Number of paid jobs - 20 days,Z No Match,31720
2020-03-08,Number of paid jobs - 6 days,Total,836340
2020-03-08,Number of paid jobs - 6 days,A Primary,41020
2020-03-08,Number of paid jobs - 6 days,B Goods Producing,265110
2020-03-08,Number of paid jobs - 6 days,C Services,509380
2020-03-08,Number of paid jobs - 6 days,Z No Match,20840
2020-03-15,Number of paid jobs - 34 days,Total,2209760
2020-03-15,Number of paid jobs - 34 days,A Primary,102660
2020-03-15,Number of paid jobs - 34 days,B Goods Producing,418270
2020-03-15,Number of paid jobs - 34 days,C Services,1649290
2020-03-15,Number of paid jobs - 34 days,Z No Match,39540
2020-03-15,Number of paid jobs - 20 days,Total,1945710
2020-03-15,Number of paid jobs - 20 days,A Primary,84950
2020-03-15,Number of paid jobs - 20 days,B Goods Producing,358640
2020-03-15,Number of paid jobs - 20 days,C Services,1475720
2020-03-15,Number of paid jobs - 20 days,Z No Match,26400
2020-03-15,Number of paid jobs - 6 days,Total,824740
2020-03-15,Number of paid jobs - 6 days,A Primary,41660
2020-03-15,Number of paid jobs - 6 days,B Goods Producing,261560
2020-03-15,Number of paid jobs - 6 days,C Services,506750
2020-03-15,Number of paid jobs - 6 days,Z No Match,14770
2020-03-22,Number of paid jobs - 34 days,Total,2231760
2020-03-22,Number of paid jobs - 34 days,A Primary,103790
2020-03-22,Number of paid jobs - 34 days,B Goods Producing,418600
2020-03-22,Number of paid jobs - 34 days,C Services,1660590
2020-03-22,Number of paid jobs - 34 days,Z No Match,48780
2020-03-22,Number of paid jobs - 20 days,Total,1963670
2020-03-22,Number of paid jobs - 20 days,A Primary,84540
2020-03-22,Number of paid jobs - 20 days,B Goods Producing,358580
2020-03-22,Number of paid jobs - 20 days,C Services,1477630
2020-03-22,Number of paid jobs - 20 days,Z No Match,42920
2020-03-22,Number of paid jobs - 6 days,Total,846360
2020-03-22,Number of paid jobs - 6 days,A Primary,41330
2020-03-22,Number of paid jobs - 6 days,B Goods Producing,260910
2020-03-22,Number of paid jobs - 6 days,C Services,512200
2020-03-22,Number of paid jobs - 6 days,Z No Match,31920
2020-03-29,Number of paid jobs - 34 days,Total,2220260
2020-03-29,Number of paid jobs - 34 days,A Primary,101730
2020-03-29,Number of paid jobs - 34 days,B Goods Producing,416480
2020-03-29,Number of paid jobs - 34 days,C Services,1648510
2020-03-29,Number of paid jobs - 34 days,Z No Match,53540
2020-03-29,Number of paid jobs - 20 days,Total,1929730
2020-03-29,Number of paid jobs - 20 days,A Primary,81910
2020-03-29,Number of paid jobs - 20 days,B Goods Producing,353890
2020-03-29,Number of paid jobs - 20 days,C Services,1446190
2020-03-29,Number of paid jobs - 20 days,Z No Match,47740
2020-03-29,Number of paid jobs - 6 days,Total,831060
2020-03-29,Number of paid jobs - 6 days,A Primary,39800
2020-03-29,Number of paid jobs - 6 days,B Goods Producing,260010
2020-03-29,Number of paid jobs - 6 days,C Services,494740
2020-03-29,Number of paid jobs - 6 days,Z No Match,36500
2020-04-05,Number of paid jobs - 34 days,Total,2194950
2020-04-05,Number of paid jobs - 34 days,A Primary,100270
2020-04-05,Number of paid jobs - 34 days,B Goods Producing,411960
2020-04-05,Number of paid jobs - 34 days,C Services,1631690
2020-04-05,Number of paid jobs - 34 days,Z No Match,51030
2020-04-05,Number of paid jobs - 20 days,Total,1886590
2020-04-05,Number of paid jobs - 20 days,A Primary,79070
2020-04-05,Number of paid jobs - 20 days,B Goods Producing,341100
2020-04-05,Number of paid jobs - 20 days,C Services,1421520
2020-04-05,Number of paid jobs - 20 days,Z No Match,44900
2020-04-05,Number of paid jobs - 6 days,Total,763690
2020-04-05,Number of paid jobs - 6 days,A Primary,36270
2020-04-05,Number of paid jobs - 6 days,B Goods Producing,238270
2020-04-05,Number of paid jobs - 6 days,C Services,462800
2020-04-05,Number of paid jobs - 6 days,Z No Match,26350
2020-04-12,Number of paid jobs - 34 days,Total,2145000
2020-04-12,Number of paid jobs - 34 days,A Primary,96030
2020-04-12,Number of paid jobs - 34 days,B Goods Producing,405480
2020-04-12,Number of paid jobs - 34 days,C Services,1604600
2020-04-12,Number of paid jobs - 34 days,Z No Match,38890
2020-04-12,Number of paid jobs - 20 days,Total,1837170
2020-04-12,Number of paid jobs - 20 days,A Primary,76700
2020-04-12,Number of paid jobs - 20 days,B Goods Producing,342270
2020-04-12,Number of paid jobs - 20 days,C Services,1384600
2020-04-12,Number of paid jobs - 20 days,Z No Match,33600
2020-04-12,Number of paid jobs - 6 days,Total,639480
2020-04-12,Number of paid jobs - 6 days,A Primary,29670
2020-04-12,Number of paid jobs - 6 days,B Goods Producing,194650
2020-04-12,Number of paid jobs - 6 days,C Services,392420
2020-04-12,Number of paid jobs - 6 days,Z No Match,22740
2020-04-19,Number of paid jobs - 34 days,Total,2157150
2020-04-19,Number of paid jobs - 34 days,A Primary,97390
2020-04-19,Number of paid jobs - 34 days,B Goods Producing,402650
2020-04-19,Number of paid jobs - 34 days,C Services,1604400
2020-04-19,Number of paid jobs - 34 days,Z No Match,52710
2020-04-19,Number of paid jobs - 20 days,Total,1808110
2020-04-19,Number of paid jobs - 20 days,A Primary,76340
2020-04-19,Number of paid jobs - 20 days,B Goods Producing,338280
2020-04-19,Number of paid jobs - 20 days,C Services,1367960
2020-04-19,Number of paid jobs - 20 days,Z No Match,25530
2020-04-19,Number of paid jobs - 6 days,Total,724020
2020-04-19,Number of paid jobs - 6 days,A Primary,34880
2020-04-19,Number of paid jobs - 6 days,B Goods Producing,228690
2020-04-19,Number of paid jobs - 6 days,C Services,453380
2020-04-19,Number of paid jobs - 6 days,Z No Match,7070
2020-04-26,Number of paid jobs - 34 days,Total,2190540
2020-04-26,Number of paid jobs - 34 days,A Primary,98780
2020-04-26,Number of paid jobs - 34 days,B Goods Producing,411500
2020-04-26,Number of paid jobs - 34 days,C Services,1636640
2020-04-26,Number of paid jobs - 34 days,Z No Match,43610
2020-04-26,Number of paid jobs - 20 days,Total,1784420
2020-04-26,Number of paid jobs - 20 days,A Primary,78010
2020-04-26,Number of paid jobs - 20 days,B Goods Producing,334000
2020-04-26,Number of paid jobs - 20 days,C Services,1346940
2020-04-26,Number of paid jobs - 20 days,Z No Match,25460
2020-04-26,Number of paid jobs - 6 days,Total,747040
2020-04-26,Number of paid jobs - 6 days,A Primary,36330
2020-04-26,Number of paid jobs - 6 days,B Goods Producing,237190
2020-04-26,Number of paid jobs - 6 days,C Services,466230
2020-04-26,Number of paid jobs - 6 days,Z No Match,7300
2020-05-03,Number of paid jobs - 34 days,Total,2201830
2020-05-03,Number of paid jobs - 34 days,A Primary,99570
2020-05-03,Number of paid jobs - 34 days,B Goods Producing,415300
2020-05-03,Number of paid jobs - 34 days,C Services,1641440
2020-05-03,Number of paid jobs - 34 days,Z No Match,45520
2020-05-03,Number of paid jobs - 20 days,Total,1851600
2020-05-03,Number of paid jobs - 20 days,A Primary,78970
2020-05-03,Number of paid jobs - 20 days,B Goods Producing,336510
2020-05-03,Number of paid jobs - 20 days,C Services,1398740
2020-05-03,Number of paid jobs - 20 days,Z No Match,37380
2020-05-03,Number of paid jobs - 6 days,Total,737000
2020-05-03,Number of paid jobs - 6 days,A Primary,34330
2020-05-03,Number of paid jobs - 6 days,B Goods Producing,235370
2020-05-03,Number of paid jobs - 6 days,C Services,447170
2020-05-03,Number of paid jobs - 6 days,Z No Match,20130
2020-05-10,Number of paid jobs - 34 days,Total,2186420
2020-05-10,Number of paid jobs - 34 days,A Primary,98240
2020-05-10,Number of paid jobs - 34 days,B Goods Producing,414440
2020-05-10,Number of paid jobs - 34 days,C Services,1638000
2020-05-10,Number of paid jobs - 34 days,Z No Match,35740
2020-05-10,Number of paid jobs - 20 days,Total,1928080
2020-05-10,Number of paid jobs - 20 days,A Primary,80290
2020-05-10,Number of paid jobs - 20 days,B Goods Producing,354500
2020-05-10,Number of paid jobs - 20 days,C Services,1462970
2020-05-10,Number of paid jobs - 20 days,Z No Match,30320
2020-05-10,Number of paid jobs - 6 days,Total,767490
2020-05-10,Number of paid jobs - 6 days,A Primary,36120
2020-05-10,Number of paid jobs - 6 days,B Goods Producing,241900
2020-05-10,Number of paid jobs - 6 days,C Services,474060
2020-05-10,Number of paid jobs - 6 days,Z No Match,15420
2020-05-17,Number of paid jobs - 34 days,Total,2202210
2020-05-17,Number of paid jobs - 34 days,A Primary,99050
2020-05-17,Number of paid jobs - 34 days,B Goods Producing,415720
2020-05-17,Number of paid jobs - 34 days,C Services,1642910
2020-05-17,Number of paid jobs - 34 days,Z No Match,44530
2020-05-17,Number of paid jobs - 20 days,Total,1937220
2020-05-17,Number of paid jobs - 20 days,A Primary,80420
2020-05-17,Number of paid jobs - 20 days,B Goods Producing,354750
2020-05-17,Number of paid jobs - 20 days,C Services,1463200
2020-05-17,Number of paid jobs - 20 days,Z No Match,38850
2020-05-17,Number of paid jobs - 6 days,Total,779250
2020-05-17,Number of paid jobs - 6 days,A Primary,36960
2020-05-17,Number of paid jobs - 6 days,B Goods Producing,240330
2020-05-17,Number of paid jobs - 6 days,C Services,482760
2020-05-17,Number of paid jobs - 6 days,Z No Match,19200
2020-05-24,Number of paid jobs - 34 days,Total,2218820
2020-05-24,Number of paid jobs - 34 days,A Primary,99850
2020-05-24,Number of paid jobs - 34 days,B Goods Producing,416420
2020-05-24,Number of paid jobs - 34 days,C Services,1651300
2020-05-24,Number of paid jobs - 34 days,Z No Match,51250
2020-05-24,Number of paid jobs - 20 days,Total,1946440
2020-05-24,Number of paid jobs - 20 days,A Primary,80800
2020-05-24,Number of paid jobs - 20 days,B Goods Producing,355340
2020-05-24,Number of paid jobs - 20 days,C Services,1465060
2020-05-24,Number of paid jobs - 20 days,Z No Match,45250
2020-05-24,Number of paid jobs - 6 days,Total,848040
2020-05-24,Number of paid jobs - 6 days,A Primary,37510
2020-05-24,Number of paid jobs - 6 days,B Goods Producing,260860
2020-05-24,Number of paid jobs - 6 days,C Services,513440
2020-05-24,Number of paid jobs - 6 days,Z No Match,36230
2020-05-31,Number of paid jobs - 34 days,Total,2214510
2020-05-31,Number of paid jobs - 34 days,A Primary,99600
2020-05-31,Number of paid jobs - 34 days,B Goods Producing,416370
2020-05-31,Number of paid jobs - 34 days,C Services,1646300
2020-05-31,Number of paid jobs - 34 days,Z No Match,52240
2020-05-31,Number of paid jobs - 20 days,Total,1948410
2020-05-31,Number of paid jobs - 20 days,A Primary,80750
2020-05-31,Number of paid jobs - 20 days,B Goods Producing,355740
2020-05-31,Number of paid jobs - 20 days,C Services,1465920
2020-05-31,Number of paid jobs - 20 days,Z No Match,46010
2020-05-31,Number of paid jobs - 6 days,Total,849210
2020-05-31,Number of paid jobs - 6 days,A Primary,37130
2020-05-31,Number of paid jobs - 6 days,B Goods Producing,259460
2020-05-31,Number of paid jobs - 6 days,C Services,516290
2020-05-31,Number of paid jobs - 6 days,Z No Match,36330
2020-06-07,Number of paid jobs - 34 days,Total,2209430
2020-06-07,Number of paid jobs - 34 days,A Primary,98370
2020-06-07,Number of paid jobs - 34 days,B Goods Producing,414730
2020-06-07,Number of paid jobs - 34 days,C Services,1645970
2020-06-07,Number of paid jobs - 34 days,Z No Match,50360
2020-06-07,Number of paid jobs - 20 days,Total,1951300
2020-06-07,Number of paid jobs - 20 days,A Primary,80020
2020-06-07,Number of paid jobs - 20 days,B Goods Producing,355760
2020-06-07,Number of paid jobs - 20 days,C Services,1470860
2020-06-07,Number of paid jobs - 20 days,Z No Match,44650
2020-06-07,Number of paid jobs - 6 days,Total,845820
2020-06-07,Number of paid jobs - 6 days,A Primary,37100
2020-06-07,Number of paid jobs - 6 days,B Goods Producing,256640
2020-06-07,Number of paid jobs - 6 days,C Services,517070
2020-06-07,Number of paid jobs - 6 days,Z No Match,35020
2020-06-14,Number of paid jobs - 34 days,Total,2210000
2020-06-14,Number of paid jobs - 34 days,A Primary,97580
2020-06-14,Number of paid jobs - 34 days,B Goods Producing,414550
2020-06-14,Number of paid jobs - 34 days,C Services,1646610
2020-06-14,Number of paid jobs - 34 days,Z No Match,51260
2020-06-14,Number of paid jobs - 20 days,Total,1948400
2020-06-14,Number of paid jobs - 20 days,A Primary,79140
2020-06-14,Number of paid jobs - 20 days,B Goods Producing,354670
2020-06-14,Number of paid jobs - 20 days,C Services,1469420
2020-06-14,Number of paid jobs - 20 days,Z No Match,45160
2020-06-14,Number of paid jobs - 6 days,Total,848030
2020-06-14,Number of paid jobs - 6 days,A Primary,35430
2020-06-14,Number of paid jobs - 6 days,B Goods Producing,262330
2020-06-14,Number of paid jobs - 6 days,C Services,515700
2020-06-14,Number of paid jobs - 6 days,Z No Match,34560
2020-06-21,Number of paid jobs - 34 days,Total,2208000
2020-06-21,Number of paid jobs - 34 days,A Primary,97670
2020-06-21,Number of paid jobs - 34 days,B Goods Producing,412200
2020-06-21,Number of paid jobs - 34 days,C Services,1645970
2020-06-21,Number of paid jobs - 34 days,Z No Match,52170
2020-06-21,Number of paid jobs - 20 days,Total,1937140
2020-06-21,Number of paid jobs - 20 days,A Primary,78400
2020-06-21,Number of paid jobs - 20 days,B Goods Producing,351800
2020-06-21,Number of paid jobs - 20 days,C Services,1461120
2020-06-21,Number of paid jobs - 20 days,Z No Match,45820
2020-06-21,Number of paid jobs - 6 days,Total,838260
2020-06-21,Number of paid jobs - 6 days,A Primary,36570
2020-06-21,Number of paid jobs - 6 days,B Goods Producing,256360
2020-06-21,Number of paid jobs - 6 days,C Services,509360
2020-06-21,Number of paid jobs - 6 days,Z No Match,35970
2020-06-28,Number of paid jobs - 34 days,Total,2194470
2020-06-28,Number of paid jobs - 34 days,A Primary,96970
2020-06-28,Number of paid jobs - 34 days,B Goods Producing,410710
2020-06-28,Number of paid jobs - 34 days,C Services,1633860
2020-06-28,Number of paid jobs - 34 days,Z No Match,52940
2020-06-28,Number of paid jobs - 20 days,Total,1927330
2020-06-28,Number of paid jobs - 20 days,A Primary,77640
2020-06-28,Number of paid jobs - 20 days,B Goods Producing,349720
2020-06-28,Number of paid jobs - 20 days,C Services,1453430
2020-06-28,Number of paid jobs - 20 days,Z No Match,46540
2020-06-28,Number of paid jobs - 6 days,Total,822540
2020-06-28,Number of paid jobs - 6 days,A Primary,35350
2020-06-28,Number of paid jobs - 6 days,B Goods Producing,256780
2020-06-28,Number of paid jobs - 6 days,C Services,494070
2020-06-28,Number of paid jobs - 6 days,Z No Match,36340
2020-07-05,Number of paid jobs - 34 days,Total,2201830
2020-07-05,Number of paid jobs - 34 days,A Primary,98120
2020-07-05,Number of paid jobs - 34 days,B Goods Producing,412120
2020-07-05,Number of paid jobs - 34 days,C Services,1636910
2020-07-05,Number of paid jobs - 34 days,Z No Match,54680
2020-07-05,Number of paid jobs - 20 days,Total,1924270
2020-07-05,Number of paid jobs - 20 days,A Primary,78020
2020-07-05,Number of paid jobs - 20 days,B Goods Producing,350280
2020-07-05,Number of paid jobs - 20 days,C Services,1448320
2020-07-05,Number of paid jobs - 20 days,Z No Match,47640
2020-07-05,Number of paid jobs - 6 days,Total,825810
2020-07-05,Number of paid jobs - 6 days,A Primary,36070
2020-07-05,Number of paid jobs - 6 days,B Goods Producing,254910
2020-07-05,Number of paid jobs - 6 days,C Services,497890
2020-07-05,Number of paid jobs - 6 days,Z No Match,36940
2020-07-12,Number of paid jobs - 34 days,Total,2177990
2020-07-12,Number of paid jobs - 34 days,A Primary,97300
2020-07-12,Number of paid jobs - 34 days,B Goods Producing,409760
2020-07-12,Number of paid jobs - 34 days,C Services,1618750
2020-07-12,Number of paid jobs - 34 days,Z No Match,52180
2020-07-12,Number of paid jobs - 20 days,Total,1919450
2020-07-12,Number of paid jobs - 20 days,A Primary,78600
2020-07-12,Number of paid jobs - 20 days,B Goods Producing,350210
2020-07-12,Number of paid jobs - 20 days,C Services,1444620
2020-07-12,Number of paid jobs - 20 days,Z No Match,46020
2020-07-12,Number of paid jobs - 6 days,Total,826540
2020-07-12,Number of paid jobs - 6 days,A Primary,36220
2020-07-12,Number of paid jobs - 6 days,B Goods Producing,255240
2020-07-12,Number of paid jobs - 6 days,C Services,498920
2020-07-12,Number of paid jobs - 6 days,Z No Match,36160
2020-07-19,Number of paid jobs - 34 days,Total,2191840
2020-07-19,Number of paid jobs - 34 days,A Primary,98280
